,,Fake News,Official Communication
favourites,count,8746.0,15866.0
favourites,mean,25.15618568488452,166.3143199294088
favourites,std,706.7711226819484,806.7361281285018
favourites,min,0.0,0.0
favourites,25%,0.0,0.0
favourites,50%,0.0,45.0
favourites,75%,2.0,132.0
favourites,max,55301.0,42509.0
retweets,count,8746.0,15866.0
retweets,mean,6.048707980791219,136.57834362788353
retweets,std,155.62914505023815,522.2434450440849
retweets,min,0.0,0.0
retweets,25%,0.0,20.0
retweets,50%,0.0,44.0
retweets,75%,0.0,109.0
retweets,max,11380.0,26236.0
followers,count,8746.0,15866.0
followers,mean,4821.52561170821,5333305.743161477
followers,std,53735.925301467454,5285073.136899607
followers,min,0.0,105552.0
followers,25%,47.0,691748.0
followers,50%,244.0,1958420.0
followers,75%,1119.5,12269215.0
followers,max,2305664.0,12269358.0
length_preprocessed,count,12743.0,15866.0
length_preprocessed,mean,191.29451463548614,184.98077650321443
length_preprocessed,std,77.40997560539691,59.446131010176
length_preprocessed,min,18.0,21.0
length_preprocessed,25%,117.0,130.0
length_preprocessed,50%,207.0,191.0
length_preprocessed,75%,267.0,240.0
length_preprocessed,max,299.0,300.0
sentiment_BERT,count,12743.0,15866.0
sentiment_BERT,mean,1.811818253158597,3.6142064792638346
sentiment_BERT,std,1.3356356069595152,1.5545457646795322
sentiment_BERT,min,1.0,1.0
sentiment_BERT,25%,1.0,2.0
sentiment_BERT,50%,1.0,4.0
sentiment_BERT,75%,2.0,5.0
sentiment_BERT,max,5.0,5.0
concreteness,count,12743.0,15866.0
concreteness,mean,0.6405826624555078,0.6404485694099521
concreteness,std,0.017731002751440655,0.013886566719985291
concreteness,min,0.5963836312294006,0.601729691028595
concreteness,25%,0.6277439594268799,0.631195679306984
concreteness,50%,0.6374658346176147,0.6392897665500641
concreteness,75%,0.6502565741539001,0.6481345742940903
concreteness,max,0.7062337398529053,0.7014278173446655
valence,count,12743.0,15866.0
valence,mean,0.5919214661497622,0.6123346226236099
valence,std,0.021221219087338195,0.026709974709406142
valence,min,0.5350214838981628,0.5378941893577576
valence,25%,0.5769989490509033,0.5906841903924942
valence,50%,0.5897346138954163,0.61235511302948
valence,75%,0.6046892404556274,0.6341218650341034
valence,max,0.6774783730506897,0.687919020652771
dominance,count,12743.0,15866.0
dominance,mean,0.615578314886263,0.6234881370925338
dominance,std,0.009213438556761324,0.011410831302585762
dominance,min,0.5867517590522766,0.5889872908592224
dominance,25%,0.6092720031738281,0.6150417774915695
dominance,50%,0.6145405769348145,0.622591495513916
dominance,75%,0.6208813786506653,0.6310873627662659
dominance,max,0.6778759956359863,0.6708934903144836
arousal,count,12743.0,15866.0
arousal,mean,0.6359565779139948,0.6287701814581583
arousal,std,0.01246702071604828,0.010705334294889433
arousal,min,0.5907168984413147,0.5965655446052551
arousal,25%,0.6271158158779144,0.6214393824338913
arousal,50%,0.6347190141677856,0.628023087978363
arousal,75%,0.6433795094490051,0.6351268291473389
arousal,max,0.699293315410614,0.6855364441871643
sentiment_vader,count,12743.0,15866.0
sentiment_vader,mean,-0.12656235580318606,0.22487032648430605
sentiment_vader,std,0.5277156804774338,0.43895172811467226
sentiment_vader,min,-0.9934,-0.9666
sentiment_vader,25%,-0.5994,0.0
sentiment_vader,50%,-0.0258,0.25
sentiment_vader,75%,0.296,0.5994
sentiment_vader,max,0.9802,0.9784
readability,count,12743.0,15866.0
readability,mean,8.302244369457743,9.30041598386487
readability,std,4.218196448174399,4.208906688115821
readability,min,-2.6,-3.1
readability,25%,5.4,6.3
readability,50%,7.6,8.8
readability,75%,10.3,11.7
readability,max,39.4,25.6
exclamation_marks,count,12742.0,15864.0
exclamation_marks,mean,0.11097159001726574,0.10766515380736258
exclamation_marks,std,0.5162067070387342,0.5204091561454087
exclamation_marks,min,0.0,0.0
exclamation_marks,25%,0.0,0.0
exclamation_marks,50%,0.0,0.0
