id,tweet,favourites,retweets,followers,is_covid
1265660879669886976,Media briefing on #COVID19 with @DrTedros https://t.co/j5ZoeBdBvO,1009,361,12269129,True
1359097202438791169,"RT @MattHancock: Our social care workforce have done an incredible job of helping the most vulnerable in society throughout COVID.

We're u…",0,22,691760,True
1308420795350220800,"These are the symptoms you should be looking out for when checking if your child has #COVID19 or another infection 👇🏼

Check the NHS website for advice: 
▶️https://t.co/QRB03bZQ4K https://t.co/GiwOFScdVg",43,64,691760,True
1344741626430816256,An ongoing CDC study of household spread of #COVID19 published in @CDCMWMR finds reducing quarantine to fewer than 14 days might be easier to comply with but carries some risk of spreading the virus. Learn more: https://t.co/7hwkP2W7Fi. https://t.co/iJimcZZHNC,105,61,5554474,True
1322470870372286464,"70% of workers on minimum wages find it hard to make ends meet.
Many of them are doing essential jobs on the frontline of coronavirus.
Applauding them is not enough, we have to recognise the value of their work. 

More about #EUMinimumWages ↓",381,149,1822573,True
1358819276963131392,"""This is clearly concerning news. However, there are some important caveats""-@DrTedros #COVID19 

https://t.co/9UaIXJ6ME2",26,13,12269129,True
1265938348897640448,"Close contact and early, exclusive #breastfeeding helps a baby to thrive.
A woman with #COVID19 should be supported to:
🤱🏻 breastfeed safely
🤱🏼 hold her newborn skin-to-skin
🤱🏾 share a room with her baby 

https://t.co/2nFW7S5fIB https://t.co/1czzBUoXNU",212,96,12269129,True
1316272531641262081,"Local COVID Alert Levels come into force today.

Use our postcode checker to find out the Local COVID Alert Level in your area ⬇️",60,72,691760,True
1262347492819156992,"""If there is anything positive to come from the #COVID19 pandemic, it must be a safer and more resilient world""-@DrTedros #WHA73",61,18,12269129,True
1256116143040925701,"Exposing yourself to temperatures above 25 degrees Celsius DOES NOT prevent #COVID19. 

For more on #coronavirus 👉 https://t.co/C3mt4k815w https://t.co/ODP0Fm2eOm",134,69,206117,True
1317046837497499648,"The global platform of the Solidarity Trial is ready to rapidly evaluate promising new #COVID19 treatment options, with nearly 500 hospitals open as trial sites.

👉 https://t.co/g5vWTbi29c https://t.co/c1aDavsym2",143,42,12269129,True
1271356329861537793,"In the 10th update of the #COVID19 RRA:

- incidence of reported cases/100 000 population in the last 14 days
- incidence of reported cases/100 000 population in the last 14 days - subnational level
- change in 14-day incidence of reported cases

https://t.co/zSlwAhV0Ea https://t.co/ZgdNMKFruH",15,13,105552,True
